Date,Kp_sum
2017-10-25,26.333
2017-10-26,24.333
2017-10-27,8.332
2017-10-28,10.0
2017-10-29,4.667
2017-10-30,3.0
2017-10-31,3.333
2017-11-01,4.667
2017-11-02,14.666
2017-11-03,15.666
2017-11-04,6.333
2017-11-05,1.6660000000000001
2017-11-06,1.0
2017-11-07,30.668
2017-11-08,36.999
2017-11-09,26.667
2017-11-10,27.334
2017-11-11,13.666
2017-11-12,10.334
2017-11-13,11.332
2017-11-14,20.0
2017-11-15,20.333
2017-11-16,21.333
2017-11-17,9.0
2017-11-18,13.002
2017-11-19,8.333
2017-11-20,9.999
2017-11-21,31.334
2017-11-22,18.667
2017-11-23,16.667
2017-11-24,14.999
2017-11-25,10.333
2017-11-26,4.001
2017-11-27,9.333
2017-11-28,12.333
2017-11-29,8.667
2017-11-30,17.665
2017-12-01,13.333
2017-12-02,4.666
2017-12-03,1.3330000000000002
2017-12-04,15.333
2017-12-05,31.667
2017-12-06,23.333
2017-12-07,18.332
2017-12-08,10.0
2017-12-09,6.0
2017-12-10,4.0
2017-12-11,17.999000000000002
2017-12-12,20.666
2017-12-13,11.667
2017-12-14,6.333
2017-12-15,5.666
2017-12-16,5.001
2017-12-17,28.668
2017-12-18,23.0
2017-12-19,9.0
2017-12-20,10.334
2017-12-21,3.6670000000000003
2017-12-22,1.999
2017-12-23,9.001
2017-12-24,19.665
2017-12-25,16.667
2017-12-26,18.000999999999998
2017-12-27,14.667
2017-12-28,9.333
2017-12-29,7.0
2017-12-30,5.666
2017-12-31,4.9990000000000006
